id,verse_text,label
299,"that moved in the beginning o'er his face,",2
300,and glance securely round.,2
301,so that ye for them are made,2
302,of course throw monstrous shadows: those who think,0
303,he who plays with old iagoo,2
304,“why won’t the farm next to it do for you?”,2
305,"on which an army once did feast,",2
306,their country free and joyous--,1
307,o sun-hint that hath overspread,2
308,"the mad briareus of disunion rise,",0
309,"like your nest,",2
310,"leading downward to the river,",2
311,a tyrian colony; the people made,2
312,can storied urn or animated bust:,2
313,"but she spake: ""bid hither gunnar, lest the sun sink o'er the bent,",2
314,despised am i by those who call'd me friend,3
315,the days pass over me,2
316,"knowing this, that never yet",2
317,"no, i won't be seein' nobody in the mornin',",2
318,the crack as of her splitting. did she take,2
319,"i see them torn by gallic guns,",0
320,"thou feel'st it burning, in and in,--and fear",0
321,your paynim heroes faster ride,1
322,but all of them are bad enough,0
323,"_you_ took to follerin' where the prophets beckoned,",2
324,godminster? is it fancy's play?,2
325,so that my stern resolve was almost gone.,2
326,"meekly in the eternal footsteps trod,",2
327,"all along down ""injin crik?""",2
328,look down the shining peaks of all my days,1
329,the wood giant,2
330,"tinkle, tinkle, sweetly it sung to us,",1
331,"has it become to thee a labyrinth never ending,",0
332,"on her changed world of ruin, waste and wrack,",0
333,"then along the river strand,",2
334,"these are the tales, or new or old,",2
335,"for her this rhyme is penned, whose luminous eyes,",1
336,like morning glory,1
337,"the quavering thunder thereupon had ceas'd,",3
338,"to men below,",2
339,they had not set there. who had set it there?,2
340,kneeling ne'er spoiled silk stockings; quit thy state;,0
341,"sometime, when all life's lessons have been learned,",2
342,shine knightly star and plume of snow?,1
343,"he said; and while he spoke, with flying speed",2
344,"from earth, with the waters of pain.",0
345,sent by an hand unseen;,2
346,till after-poets only knew,2
347,to his aid the strong reverses,2
348,"and leave the words unspoken i yet have will to speak.""",2
349,"the tablet telling where he ""fell on sleep,""--",2
350,is writ in moods and frowns and wrinkles strange.,0
351,"so there on an eve is sigurd in the ancient niblung hall,",2
352,"good ringers, pull your best,"" quoth he.",1
353,to gather weeds in the regardless stream.,2
354,and the lure of what is called heaven is little or nothing to me.,3
355,me up like that.  'essence de la valliere'--,2
356,"but when i read of the brotherhood of lovers, how it was with them;",2
357,all these were round my steady paces.,2
358,fearless but weary to thy arms i creep;,3
359,those cobweb nerves he could not dull within.,0
360,"with dews of tropic morning wet,",2
361,"here those that in the rapid course delight,",1
362,‘received that cheque.’ but you!... i send you funds,2
363,and never be forgot in mighty rome,1
364,"fooled with your promises,",0
365,thy mission to a world of woe.,0
366,attend your brother to the stygian flood.”,2
367,less often man--the harder of the two.,2
368,"shining and shouting each to each that place),",2
369,and call that brilliant flower the painted cup.,1
370,"a privilege, i think,",2
371,our frowning foemen of the night,0
372,"of sainthood in purple the pattern and pick,",2
373,and bright in heaven's jewelled crown,1
374,"when, dreadful to behold, from sea we spied",0
375,"halcyons of memory,",1
376,hale as the morn and happy as her song.,1
377,and catered for it as the cretan bees,2
378,"some moment, nailed on sorrow's cross,",0
379,"and in the air, her new voice luting soft,",1
380,with sincerest conviction their chairs to the shore;,1
381,my prayer away i threw;,2
382,"an old smoaked blanket arches oer his head,",2
383,the sundown's golden trail?,1
384,"far, far away, o ye",2
385,"our saxon tongue has known,--",2
386,"“the nymph, who scatters flaming fires around,",0
387,"thus farr to try thee, adam, i was pleas'd,",1
388,swifter far than youth's delight--,1
389,"all autumn pil'd, though spring and autumn here",2
390,"for 'twas e'en as a great god's slaying, and they feared the wrath of the sky;",0
391,"but heaven in thy creation did decree,",2
392,and i've been like that silly girl.,0
393,"burns in thee, child?--what good can thee betide,",2
394,"skins of otter, lynx, and ermine,",2
395,to make a body curse.,0
396,"no, no, you have dismiss'd me; and i go",2
397,"and full of wonder, full of hope as he.",1
398,were murmuring on the stifling air,0
399,"how poor these pallid phrases seem,",0
400,"‘these monsters, set out in the open sun,",0
401,"before the saintly soul, whose human will",1
402,and on her ample square from side to side,2
403,"and hold the hours as joshua stayed the sun,--",2
404,"he scarce had ended, when those two approachd",2
405,"blindness like that would scare the mole and bat,",0
406,"did from the altar steal a smouldering brand,",0
407,"""he whose lot hath been",2
408,"our present, our past, our to be,",2
409,"now rise and look upon me.""  and she rose,",2
410,came sages urging on his foamy steed:,2
411,"is beaten by the winds, with foggy vapours bound.",0
412,"and finde thee knowing not of beasts alone,",2
413,"apple-blossoms pink, and low",2
414,"pride of thy sex, miss harriet martineau!",1
415,"we’ll say instead, the inconsequent creature, man,—",2
416,until the bitter summons fell--,0
417,with level wings swinging,2
418,"lift not your hands in the banded war,",2
419,"would my heart and life flow onward, deathward, through this dream of",3
420,"but de lawd is all aroun' you,",2
421,"in slumber; for thine enemy never sleeps,",0
422,to hold it fast.,2
423,"tain't the words alone, but feelin's,",2
424,"no angry bolt, but harmless flame.",3
425,the beauty and the joy of their renewed might.,1
426,"oh, those days, so sweet, so happy,",1
427,if men are always at a loss,0
428,"they were wet, and glistened with raindrops, shed",2
429,and circling wonders fill the vast profound.,1
430,"the love that lived through all the stormy past,",3
431,"but it is not enough, ah! not enough",2
432,the pyramids have risen.,2
433,"""play uppe, play uppe, o boston bells!",1
434,"is plain, thou say'st: but wherefore god this way",2
435,"to rise upon some other shore,",2
436,"at dusk of eve,",2
437,"and then, as is my wont, i told",2
438,with warning cough and threatening wheeze,0
439,"who had my mother's servant been,",2
440,"daily struggling, though unloved and lonely,",0
441,"there's a certain slant of light,",2
442,honour to the old bow-string!,1
443,fall again.,2
444,"love, on myriad lips fairer than yours, kisses you could not give! . . .",3
445,how heavy it seemed! as heavy as a stone;,0
446,"concerning him ye wot of, thus to think",2
447,"thou too art victor, rochambeau!",1
448,"when thou hadst overcome the sharpness of death, thou didst open the kingdom of heaven to all believers.",3
449,"and wit, like ocean, rose and fell?--",3
450,"how they had waited for him, to complete",2
451,heart as though with ashes blending;,0
452,and give a meaning to their lives; and still,2
453,along the track. afore the noonday meal,2
454,but descend to the ocean again.,2
455,and yet its whole career,2
456,when waves forget to roll.,2
457,"i see two boats with nets, lying off the shore of paumanok, quite still;",2
458,"rais’d on the seas, the surges to control—",2
459,"passing to lap thy waters, crushed the flower",0
460,"ay, knelt and worshipped on, as love in beauty's bower,",1
461,the tale is one of distant skies;,2
462,"the herded wolves, bold only to pursue;",2
463,would we were bidden with the rest!,2
464,feel the pulses of the brave,1
465,"sparked a ruby through its heart,",1
466,"from the overhanging branches,",2
467,"i see them mix'd with george's sons,",2
468,"i watch you in your crystal sphere,",2
469,daih 's de ho'n a blowin'!,2
470,to teach in schools of little country towns,2
471,"listening, with half-suspended breath,",2
472,beneath thy gracious feet!,1
473,"his hand the captive's fetters broke,",0
474,did this wood come floating thick,2
475,and confessors betwixt.,2
476,"his boundless gulfs and built his shore, thy breath,",2
477,"a hundred years, and fifty more, had spread their leaves and snows,",2
478,and yet perhaps you had been startled less,2
479,"and say, ‘fie, pale-face! are you english girls",2
480,"at length they turn to nothing else but down,",2
481,"and, waking, find it vision,--none the less",2
482,"here on the street as strangers do,",2
483,it is but three times thou hast set thine eyes,2
484,"behind the heads of children) compliments,",2
485,"pulled by mules dat run like rabbits, each one tryin' to git ahead.",2
486,"unclasped the rusty belt beneath,",2
487,you heard the news from vincent carrington.,2
488,"got the ill name of augurs, because they were bores, —)",0
489,"sire, son, and grandson; so the century glides;",2
490,"but she guesses he is near,",2
491,"and so,",2
492,"and tender thoughts, and prayers, remains,",1
493,"then thro’ his breast his fatal sword he sent,",0
494,"""i mean estelle has always held the purse.""",2
495,"though books on manners are not out of print,",2
496,"so, then, without a word that might offend",2
497,"seed-field of simpler manners, braver truth,",1
498,"the pain when it did live,",0
499,"busy, with sacerdotal tailorings",2
500,"upon whose boughs were wicker cages hung,",2
501,"soft, discontented eyes!",0
502,she still must keep the locket to allay,2
503,and the rude people rage with ignorant cries,0
504,skirting the stream.,2
505,"""o lord, that didst smother mankind in thy flood,",0
506,"the silence, and the rain.",2
507,"is this a time to be cloudy and sad,",0
508,"blood-dipped arrows, which savages make",0
509,i think i'll just call up my wife and tell her,2
510,the moon and the stars were anxious,0
511,they shaped our future; we but carve their names.,2
512,"nor the president in his presidency, nor the rich in his great house.",3
513,"in our embraces we again enfold her,",1
514,robe us once more in heaven-aspiring creeds,1
515,"in the twilight of age all things seem strange and phantasmal,",0
516,back to its mansion call the fleeting breath?,2
517,the very gods arising mid their carven images:,2
518,"ah! still, methinks, i hear them calling;",2
519,a wild and stormy sea;,0
520,"""sir, ye shall find him, if ye follow up",2
521,tis the djinns' wild streaming swarm,2
522,how many times we must have met,2
523,"dark with more clouds than tempests are,",0
524,then the smile from her bright eyes faded and a flush came over her cheek,3
525,lowly and soft she said it; but spake out louder now:,2
526,"the sower scatters broad his seed,",2
527,"and thus each tint or shade which falls,",2
528,the dust of half a century lies,2
529,above the myriad roofs and spires rise;,2
530,and they whispered to each other:,2
531,then he stripped the shirt of wampum,2
532,"at least if so we can, and by the head",2
533,"here comes the cripple jane!""  and by a fountain's side",0
534,to me that time did not appeire:,2
535,"so neighbour'd to him, and yet so unseen",2
536,the wondering rabbi sought the temple's gate.,2
537,"are angel faces, silent and serene,",1
538,ef zeke had be'n the bigges' man,2
539,and when i bade the dream,2
540,"and tip with feathers, orange and green,",2
541,"or at the church, she ever bore herself",2
542,"how nature to the soul is moored,",2
543,"""rubadub! rubadub! wake and take the road again,",2
544,i do not keer a jot;,2
545,"swifter was the hunter's rowing,",1
546,let the scared dreamer wake to see,2
547,"(like essence-peddlers) thet'll make folks long to be without 'em,",2
548,"as if we guessed what hers have been,",2
549,which goaded him in his distress,0
550,"o so many, many, many",2
551,"lord, remember me!""",2
552,"far from the woods where, when the sun has set,",2
553,abloom by sacred streams,1
554,"nathless, as hath been often tried,",2
555,"i feel the road unroll,",2
556,"and not be nearer therefore to the moon,",2
557,"forelaid and taken, while he strove in vain",0
558,"and country eyes, and quiet faces --",2
559,"some come ridin' in top-buggies wid de w'eels all painted red,",2
560,when blighting was nearest.,0
561,i can see how you might. but i don't know!,2
562,"the orchestra had cheered till they were hoarse,",3
563,pillars by madness multiplied;,0
564,"""now the place where the accident occurred----""",2
565,"a poet in his youth, and the cuckoo-bird",2
566,"no rest that throbbing slave may ask,",0
567,o'er time's delusive tide.,0
568,“i’m going to put you on the farm next to it.”,2
569,no word for a while spake regin; but he hung his head adown,0
570,"""he!  patron!",2
571,"three lives, three strides, three foot-prints in the sand;",2
572,"till they have told their fill, could scarce express",2
573,the morning and the evening made his day.,2
574,"""stella, see that grasshopper",2
575,"of blooming myrtle and faint lemon-flowers,",2
576,"let us do our work as well,",2
577,"we hear our mother call from deeps of time,",2
578,of brynhilda's love and the wrath of gudrun.,3
579,who digs last year's potato hill?--,2
580,"those hours the ancient timepiece told,--",2
581,"would split, for size of me.",2
582,in just the dress his century wore;,2
583,"his song, though very sweet, was low and faint,",3
584,then to tell.,2
585,my winter sports begin.,2
586,"envy and calumny and hate and pain,",0
587,"the play is done,--the curtain drops,",2
588,and murmured a strange and solemn air;,0
589,"the cloud is gone that wove the sandstone,",2
590,"i see little and large sea-dots, some inhabited, some uninhabited;",2
591,time never did assuage;,2
592,that saw the cross without the bear.,2
593,the deer invites no longer,2
594,taught by the sorrows that his age had known,0
595,like slippers after shoes.--,2
596,and willing grow old,2
597,"to paris, and you make no sign at all.",2
598,"from the pulpit read the preacher, ""goodman garvin and his wife",2
599,"even hearts estranged would turn once more to me,",3
600,"the china dustless, the keen knife-blades bright,",1
601,"was in cremona's workshops made,",2
602,an honest tongue may drop a harmless hint.,1
603,"you shall not find the sons of atreus here,",2
604,to intercept the sunshine and your face.,2
605,playmates' glad symphony.,1
606,"her lion-port, her awe-commanding face,",1
607,my father’s sister started when she caught,2
608,how you sprang! how you threw off the costumes of peace with indifferent hand;,3
609,"these fly to the heavens--their course never ends,",2
610,not in the close successive rattle,2
611,"a man in the wars delighting, blind-eyed through right and wrong:",3
612,"--so they feast in the hall of atli, and that eve is the first of the seven.",1
613,"i turned, and saw behind me surge",2
614,to turnus only second in the grace,2
615,"on winter afternoons,",2
616,"their heads, distilling gore, his chariot grace.",3
617,"let sophists give the lie, hearts droop, and courtiers play the worm,",0
618,"they say that 'time assuages,' --",2
619,the story of a spavined steed;,2
620,"swifter far than happy night,",1
621,"around my will to link it with her own,",2
622,"in the worst of his poems are mines of rich matter,",3
623,"upon sea-beaten cape,",2
624,"by a great master of the past,",1
625,"counts his nectars -- enters,",2
626,all over the vale below.,2
627,while with thy childlike faith we lean,2
628,and to the tender heart and brave,1
629,"a wagon, overarched with evergreen,",2
630,"upon her sister dear,",2
631,"""before god, sir, i vow, when you are gone,",2
632,"“acca, ’tis past! he swims before my sight,",2
633,"east, west, north, south, are his domain.",2
634,"with the earls of the goths about her: so queenly did she seem,",1
635,with spring’s delicious trouble in the ground,3
636,"they are fastened well, nom d'un chien!",2
637,"the fraud of priests, the wrong of law,",0
638,"""a quick consumption, that no art could cure!",2
639,around thy place of slumber glowing!,1
640,"love works at the centre,",2
641,obliterate the etchings,0
642,of nature's gold and mints it.,2
643,"shall dwindle, shall blend,",2
644,and leaves the world to darkness and to me.,0
645,"a story of the days of old,",2
646,"he bent and kissed her head, warm, shining, soft,",1
647,"and she passed out between the blessed things,",3
648,"""how to observe"" is what thy pages show,",2
649,"that satraps would have shivered at his frown,",0
650,"dey kin talk from hyeah to yandah,",2
651,"by his sacrifice, foreknown",2
652,"first, he mused what the animal substance or herb is",2
653,"harsh, featureless, and rude, barrenly perish:",0
654,three banks in three degrees the sailors bore;,2
655,"and that unrest which men miscall delight,",3
656,and friendship's tenderest sympathy,1
657,her eye proclaims her of the briton line:,2
658,"in a dell mid lawny hills,",2
659,"that thou should'st smile again?""--the evening came,",2
660,"eliab this occasion seized,",2
661,"and changing like a poet's rhymes,",2
662,my breast was calm as summer's sea,1
663,oblivion's blankness claims,0
664,"when your rights was our wrongs, john,",3
665,godminster chimes,2
666,nothin' to du but watch my shadder's trace,2
667,mere raft of stone;,2
668,"a spirit, neither here nor there,",2
669,"tormented by the quickened blood of roots,",0
670,"and then, to go to sleep;",2
671,"with passionate longing burning,",1
672,"where the cloudy hangings waver and the flickering shadows fall,",0
673,were i once more the lover,2
674,"even while we gaze, though it awhile avail",2
675,"well, i guess i looked at that hand",2
676,"a man may see the moon so, in a pond,",2
677,"ah, soul of mine! so brave and wise",1
678,"the oriole in the elm; the noisy jay,",2
679,"left the torn human heart, their food and dwelling-place.",0
680,"once upon a time, i lay",2
681,still is my heart and vacant is my breath--,2
682,with sharp turns weaving,2
683,"flew to and fro,",2
684,here on the cliff beneath the oleanders,2
685,his pass to the majestical far shore.,1
686,"and virtue's bright image, enstamped on the mind,",1
687,"then he said ""amarant""; and the damsel drew",2
688,inexorable death; and claims his right.,0
689,"trailing, wrecked, it came to land,",0
690,...    and call to him.,2
691,how seen? how known? as through your glass,2
692,"(so thick they crowd), 'tis hardly seen.",2
693,"we were content to show,",2
694,"young childhood, with a moisten'd eye,",2
695,"dead among the shouting people,",0
696,"on their tracks his eyes were fastened,",2
697,"darling, the merciful father",1
698,bird that from the nadir's floor,2
699,to touch such goodness with a grimy palm.,3
700,"the willows, and the hazel copses green,",2
701,the likeness of the wood's remembered leaves.,2
702,"his days in peace; but his straight lips were bent,",3
703,for vessels moulded by a mortal hand?,2
704,"from the slaughtering of my offspring, and the spoiling of my land;",0
705,"what i have heard,",2
706,but laon? on high freedom's desert land,2
707,"the soul with sweetness, and like an adept",1
708,"on that shaded day,",2
709,no answer came; but faint and forlorn,0
710,the lady eunice such a life she flew,2
711,and heavy as the dead.,0
712,i would not live alway--live alway below!,2
713,for suddenly the sweet bells overcame,1
714,yon creamy lily for their pavilion,2
715,a woman has been strangled with less weight:,0
716,"appeared to me,--may i again behold it!",2
717,"howled through the dark, like sounds from hell.",0
718,make a fragrance of her fame.,1
719,"betrayed how mightily its heart was stirred,",3
720,"overleaning, with flickering meaning and sign,",2
721,"thy outward thus with outward praise is crowned,",1
722,troubling with life the waters of the world.,0
723,no man could compete with kwasind.,2
724,that by nor sound nor word,2
725,when our mother nature laughs around;,1
726,"from kindling spark struck out from dead king's brow,",3
727,"and the words which he utters, are--worship, or die!",0
728,"precisely, at all events, what he ought not,",2
729,rang the beautiful wild chimes,1
730,"first feels the gathering head of steam,",2
731,"the weird pathetic scarlet of day dawning,",0
732,and to thy brief captivity was brought,2
733,and listening to thy home's familiar chime,2
734,"sometimes towards heav'n and the full-blazing sun,",1
735,"all right,' says t'other, 'only step round smart;",2
736,"grander, nobler, than that pilot",1
